cadence,stride_time_mean,stride_time_std,mean_pressure_left,mean_pressure_right,peak_pressure_left,peak_pressure_right,pressure_variance_left,pressure_variance_right,heel_to_toe_ratio_left,heel_to_toe_ratio_right,contact_area_left,contact_area_right,impact_force_left,impact_force_right,imu_acc_mean_left,imu_acc_mean_right,imu_acc_std_left,imu_acc_std_right,imu_gyro_mean_left,imu_gyro_mean_right,imu_gyro_std_left,imu_gyro_std_right,step_symmetry,force_symmetry,mood
90.0,0.718,0.1755448660599335,1050.6621875,743.8209375,4051.0,3917.0,2078246.593070215,1416378.398249121,0.8405056054433238,1.8,1293,1043,3000.3378125,3173.1790625,6.730882500000001,2.550836666666666,6.200818060172417,8.246192059974645,-0.0114883333333333,-0.0353333333333333,2.345233940327465,2.194628764481339,0.6067961135592421,1.41252031654121,angry
90.0,0.644,0.1318483977907961,1007.2425,719.7421875,4073.0,3917.0,2060204.7774437496,1373642.585095215,0.6282715304546147,1.8,1247,1053,3065.7575,3197.2578125,6.903346666666667,2.3913466666666667,6.291120645122686,8.359929795647542,0.0615333333333333,-0.0116633333333333,2.368158462228029,2.198467407837156,0.5270935934625931,1.3994490195151317,angry
90.0,0.644,0.1148216007552585,1002.0971875,727.4121875,4073.0,3875.0,1998445.0027420896,1413992.7979139646,1.0155548110784751,1.8,1266,1033,3070.9028125,3147.5878125,6.840912500000001,2.7530875000000004,6.481783054184274,8.376863808222646,-0.232775,-0.1190991666666666,2.2612118268843515,2.1724628564525497,0.6783919563899902,1.3776194616238548,angry
90.0,0.712,0.1684517735139645,1050.4640625,719.7659375,4074.0,3972.0,2035657.701208496,1405002.202402246,1.3976570627124651,1.8,1316,999,3023.5359375,3252.2340625,6.810390000000001,2.718824166666667,6.217660518600759,8.260447714959684,0.1440375,0.0397583333333333,2.131227077552683,2.046241392552996,0.7871287089746104,1.45945231124604,angry
90.0,0.656,0.161071412733607,982.0934375,750.64375,4076.0,3972.0,1987318.8247069328,1415650.4299609377,0.983376755061684,1.8,1255,1076,3093.9065625,3221.35625,6.709845833333333,2.5668250000000006,6.100568938391399,8.163929535628558,0.0028625,-0.0183741666666666,2.1695828835501425,2.018279887057121,0.6650246272658885,1.3083349274428318,angry
90.0,0.682,0.1047664068296703,1049.4225,790.765,4048.0,3924.0,2072429.01149375,1524989.937275,0.8426292387769149,1.8,1283,1077,2998.5775000000003,3133.235,6.9234625,2.5350441666666668,6.296800732535564,8.538103371390468,0.1921108333333333,0.0501075,2.3057108470525898,2.1903955687524608,0.5619469001683766,1.3270978086699614,angry
90.0,0.758,0.1765672676347459,990.691875,756.36375,4005.0,4057.0,2002781.615683984,1437130.2620609377,0.6569081179340976,1.8,1230,1096,3014.308125,3300.63625,6.73322,2.4580725,6.225969320777823,8.47118357052762,0.0358933333333333,0.0030283333333333,2.356606303625807,2.15545115019197,0.4631147522003493,1.3098087708330697,angry
90.0,0.6900000000000001,0.1621110730332755,1000.850625,740.4153125,4011.0,4095.0,2012136.952687109,1477211.7678280273,0.7384733940125254,1.8,1245,1023,3010.149375,3354.5846875,6.599666666666667,2.5230116666666667,6.536438400272395,8.791443662061267,-0.2670633333333333,-0.1353233333333333,2.2851252181566672,2.2413090141973333,0.5291479796899193,1.3517422002914854,angry
90.0,0.74,0.1719302184026996,1039.400625,694.2596875,4011.0,4095.0,1999919.8594996089,1420318.8172499023,0.975105303294436,1.8,1316,966,2971.599375,3400.7403125,6.740780000000001,2.581053333333333,6.702917641465294,8.87033464027648,-0.2572358333333333,-0.1333691666666666,2.356591420225967,2.2558747670359067,0.6682242959428771,1.4971352106669231,angry
120.0,0.5214285714285714,0.0155182578445717,1069.28625,819.7784375,3984.0,4019.0,2036679.9199359373,1401992.6555975587,0.9337523984114716,1.8,1330,1204,2914.71375,3199.2215625,6.754469166666667,2.438095,6.655232474831312,8.709891027598546,0.0320616666666666,-0.037055,2.345782944533421,2.30456692937632,0.5708661394847789,1.30436005606166,angry
105.0,0.5716666666666667,0.0821414768690107,963.7953125,821.14875,3984.0,4025.0,1930264.677165528,1463504.1897484376,0.8989737365435162,1.8,1225,1173,3020.2046875,3203.85125,6.879678333333333,2.4709291666666666,6.922132564092072,8.772897390874691,-0.1627258333333333,-0.0958608333333333,2.3927535906703747,2.27081792014815,0.5458167308931604,1.1737158600391029,angry
90.0,0.732,0.1400571312000927,1001.303125,719.3396875,3998.0,4025.0,2020609.0693652343,1370466.5217999024,0.7701078555583903,1.8,1234,1029,2996.696875,3305.6603125,7.0569041666666665,2.5198791666666667,6.751694347099052,8.618060961602634,0.1763525,0.0216291666666666,2.323724682467873,2.232275715493639,0.5338983028224649,1.3919753643622297,angry
90.0,0.646,0.1270590413941487,991.74875,730.0934375,3998.0,4015.0,1984397.5056234377,1392374.0228319336,0.6552734128222311,1.8,1239,1022,3006.2512500000003,3284.9065625,6.603690833333334,2.501416666666667,6.2773875823134135,8.427953355435047,-0.1192283333333333,-0.0658208333333333,2.18355982809354,2.1832041385081937,0.4934497795045861,1.3583860608822604,angry
105.0,0.6283333333333333,0.1134925352415547,1005.8840625,747.0128125,3983.0,4091.0,1972301.841245996,1440595.91389834,0.8341128948588351,1.8,1264,1034,2977.1159375,3343.9871875,6.5513441666666665,2.481225833333333,6.133698095416498,8.318268279405634,-0.0026033333333333,0.0008258333333333,2.1566358263869114,2.229225428745593,0.5599999975111112,1.3465419124299935,angry
75.0,0.7124999999999999,0.1684302526270147,1017.3896875,745.74,3983.0,4091.0,2010384.9440811523,1439300.9999000002,0.9205972246716873,1.8,1252,1048,2965.6103125,3345.26,6.7311275,2.4732141666666667,6.348531889440562,8.498182640029531,0.058455,-0.0082799999999999,2.193156143090364,2.298996071462498,0.6186046482855598,1.3642686273174718,angry
105.0,0.6050000000000001,0.1819111504737042,1083.444375,797.283125,4001.0,4009.0,2054372.93315586,1394601.5273402345,0.8374434474613088,1.8,1355,1175,2917.555625,3211.716875,6.774511666666666,2.4558641666666667,6.453630531713439,8.946605215893307,0.0356033333333333,-0.0173174999999999,2.3705409286325816,2.358932149305504,0.5428571406413994,1.3589204884288495,angry
90.0,0.732,0.2583331182794803,972.823125,696.4340625,4006.0,4083.0,1971392.2455902344,1385045.7437772462,0.9141604581966134,1.8,1224,989,3033.176875,3386.5659375,6.838904166666667,2.4599375,6.699852066773512,8.886393957351903,-0.2402441666666666,-0.1377241666666666,2.24353219267059,2.3113799737565084,0.5871559606093764,1.396863215034283,angry
75.0,0.895,0.0540832691319598,979.0934375,727.5078125,4001.0,4049.0,1939367.1565819336,1353580.8474389648,1.217958763362885,1.8,1233,1039,3021.9065625,3321.4921875,6.791695,2.567873333333333,6.565603188611716,8.638134991263385,0.0073383333333333,-0.0328391666666666,2.2970188071782425,2.29321606809432,0.649122804170514,1.3458184494124337,angry
